Election_Period,Constituency,Cand_FP_Share_All Others,Cand_FP_Share_FF,Cand_FP_Share_FG,Cand_FP_Share_GP-LAB-SD,Cand_FP_Share_SF,incumbent_pct_All_Others,incumbent_pct_FF,incumbent_pct_FG,incumbent_pct_GP_LAB_SD,incumbent_pct_SF,candidates_per_seat_All_Others,candidates_per_seat_FF,candidates_per_seat_FG,candidates_per_seat_GP_LAB_SD,candidates_per_seat_SF,female_pct_All_Others,female_pct_FF,female_pct_FG,female_pct_GP_LAB_SD,female_pct_SF,Catholic_pct,Irish_over3_pct,Irish_Daily_And_In_Educ_pct,Two_person_household_ppl_pct,UK_birth_pct,Wh_irish_trv,pct_share_party_prior_election_All_Others,pct_share_party_prior_election_FF,pct_share_party_prior_election_FG,pct_share_party_prior_election_GP_LAB_SD,pct_share_party_prior_election_SF
Election_2020,Carlow–Kilkenny,0.075254946,0.372866396,0.217250791,0.097090015,0.237537852,0,0.666666667,0.666666667,0,1,1,0.6,0.6,0.4,0.2,0.8,0.333333333,0,0,1,0.836447581,0.393806226,0.00319907,0.23710399,0.049618049,0.86482623,0.022106339,0.415491833,0.254874683,0.128990053,0.178537091
Election_2020,Cavan–Monaghan,0.066899408,0.251596636,0.266447778,0.048266212,0.366789964,0,0.666666667,0.333333333,0,0,0.6,0.6,0.6,0.4,0.4,0.333333333,0.333333333,0.666666667,0,0.5,0.830480093,0.359289355,0.00304351,0.221992467,0.08785,0.849578571,0.014106339,0.312491833,0.298874683,0.049990053,0.325537091
Election_2020,Clare,0.189175561,0.340431969,0.224808808,0.094528952,0.15105471,0,0.333333333,0.666666667,0,0,1.4,0.6,0.6,0.2,0.2,0.285714286,0.333333333,0,1,1,0.827852917,0.458871052,0.003803378,0.245031517,0.065395844,0.85217242,0.174106339,0.319491833,0.238874683,0.136990053,0.128537091
Election_2020,Cork East,0.118454826,0.264740393,0.196116896,0.189920065,0.23076782,0,0.5,0.5,0.5,1,1.2,0.4,0.4,0.4,0.2,0.166666667,0,0,0,0,0.830180599,0.411636219,0.003686501,0.226842196,0.04770566,0.837531664,0.122106339,0.254491833,0.265874683,0.201990053,0.155537091
Election_2020,Cork North–Central,0.204024875,0.245548302,0.150681756,0.133010159,0.266734907,0.111111111,0,0,0,0,1.8,0.6,0.4,0.6,0.2,0,0.333333333,0.5,0.333333333,0,0.7846875,0.397466692,0.00374012,0.262066333,0.038717909,0.826988035,0.166106339,0.290491833,0.158874683,0.134990053,0.250537091
Election_2020,Cork North–West,0.11533319,0.394198835,0.332175976,0.158291999,0.001,0,1,0.5,0,0,0.6,0.4,0.4,0.4,0,0.666666667,0,0,0.5,0,0.860788056,0.477861163,0.006414165,0.221725825,0.047492032,0.876150003,0.158106339,0.357491833,0.302874683,0.126990053,0.054537091
Election_2020,Cork South–Central,0.051627581,0.354550228,0.212723137,0.135089254,0.2460098,0,1,0.5,0,1,1.2,0.4,0.4,0.6,0.2,0.166666667,0,0,1,0,0.767301668,0.436279473,0.003914194,0.256220286,0.044292396,0.831564943,0.044106339,0.427491833,0.237874683,0.108990053,0.180537091
Election_2020,Cork South–West,0.326762597,0.233185981,0.189250756,0.143060129,0.107740539,0.2,0.5,0,0,0,1,0.4,0.4,0.4,0.2,0.2,0.5,0.5,1,0,0.767836628,0.446566654,0.003610196,0.239050737,0.086377705,0.832837391,0.237106339,0.207491833,0.299874683,0.115990053,0.139537091
Election_2020,Donegal,0.185508443,0.204203894,0.137853122,0.021380984,0.451053556,0.166666667,1,0.5,0,0.5,1.2,0.4,0.4,0.2,0.4,0.166666667,0,0,0,0,0.820313693,0.371884953,0.011897113,0.238562246,0.163833285,0.895522287,0.179106339,0.321491833,0.134874683,0.034990053,0.329537091
Election_2020,Dublin Bay North,0.125925203,0.143758903,0.187623942,0.270899087,0.29807558,0,0.5,0.5,0,1,2.2,0.4,0.4,0.6,0.2,0.090909091,0.5,0.5,0,1,0.763894806,0.352675874,0.004622539,0.278044529,0.041481168,0.854962718,0.313106339,0.166491833,0.177874683,0.171990053,0.170537091
Election_2020,Dublin Bay South,0.075168598,0.138263747,0.277083176,0.34881665,0.160667829,0,1,1,0.333333333,0,1.6,0.2,0.4,0.6,0.2,0.375,0,0.5,0.333333333,0,0.555943421,0.327062499,0.003124098,0.389249727,0.058656333,0.696699533,0.126106339,0.126491833,0.281874683,0.315990053,0.149537091
Election_2020,Dublin Central,0.119866391,0.102688087,0.151137268,0.269285828,0.357022427,0,0,0.5,0,1,1.8,0.2,0.4,0.6,0.2,0.666666667,1,0.5,0.333333333,1,0.552665583,0.240706665,0.003054722,0.399835486,0.039338242,0.591223547,0.225106339,0.117491833,0.116874683,0.240990053,0.298537091
Election_2020,Dublin Fingal,0.148203028,0.214911728,0.149637453,0.238319672,0.248928121,0,0.5,0.5,0,1,1.6,0.4,0.4,0.6,0.2,0.25,0.5,0,0,1,0.737898294,0.372585287,0.004458462,0.21368923,0.047434547,0.774350801,0.255106339,0.246491833,0.181874683,0.174990053,0.141537091
Election_2020,Dublin Mid–West,0.177703952,0.123162897,0.175745841,0.09517733,0.42820998,0.25,0.5,0,0,0.5,0.8,0.4,0.4,0.4,0.4,0,0.5,1,0.5,0,0.720339701,0.328881529,0.005965418,0.210406456,0.03153157,0.723365768,0.152106339,0.173491833,0.243874683,0.148990053,0.281537091
Election_2020,Dublin North–West,0.062063855,0.12048416,0.110510715,0.263076638,0.443864633,0,0,1,0.333333333,1,0.8,0.2,0.2,0.6,0.2,0,0,0,0.666666667,0,0.75774841,0.280280182,0.004505558,0.281467907,0.03235982,0.772185907,0.016106339,0.139491833,0.105874683,0.412990053,0.325537091
Election_2020,Dublin Rathdown,0.157536023,0.128174893,0.311888309,0.286229748,0.116171026,0.25,0,0.5,0.5,0,0.8,0.4,0.4,0.4,0.2,0,0.5,0.5,1,1,0.682645233,0.415415303,0.006096194,0.269907955,0.049991756,0.816246221,0.247106339,0.114491833,0.286874683,0.226990053,0.124537091
