Election_Period,Constituency,Cand_FP_Share_All Others,Cand_FP_Share_FF,Cand_FP_Share_FG,Cand_FP_Share_GP-LAB-SD,Cand_FP_Share_SF,incumbent_pct_All_Others,incumbent_pct_FF,incumbent_pct_FG,incumbent_pct_GP_LAB_SD,incumbent_pct_SF,candidates_per_seat_All_Others,candidates_per_seat_FF,candidates_per_seat_FG,candidates_per_seat_GP_LAB_SD,candidates_per_seat_SF,female_pct_All_Others,female_pct_FF,female_pct_FG,female_pct_GP_LAB_SD,female_pct_SF,Catholic_pct,Irish_over3_pct,Irish_Daily_And_In_Educ_pct,Two_person_household_ppl_pct,UK_birth_pct,Wh_irish_trv,pct_share_party_prior_election_All_Others,pct_share_party_prior_election_FF,pct_share_party_prior_election_FG,pct_share_party_prior_election_GP_LAB_SD,pct_share_party_prior_election_SF
Election_2016,Dublin South–Central,0.331,0.127,0.143,0.167,0.233,0.166666667,0,1,0.333333333,0,1.2,0.2,0.2,0.6,0.4,0.333333333,1,1,0,0.5,0.67799178,0.252626548,0.002337606,0.338041316,0.035135066,0.746993576,0.2193,0.1216,0.161,0.2885,0.2096
Election_2016,Dublin South–West,0.411,0.143,0.219,0.084,0.143,0.083333333,0,0,0,0.5,2.4,0.2,0.6,0.6,0.4,0.333333333,0,0.666666667,0.333333333,0.5,0.757566697,0.34638412,0.003778408,0.239589869,0.034097074,0.8123154,0.1263,0.1346,0.204,0.2875,0.2476
Election_2016,Dublin West,0.273,0.165,0.223,0.195,0.144,0.2,0,0.5,0.5,0,1,0.2,0.4,0.4,0.2,0.2,0,0.5,0.5,0,0.657350058,0.348199252,0.00376469,0.203785931,0.033207616,0.642466048,0.2533,0.1926,0.199,0.2185,0.1366
Election_2016,Dún Laoghaire,0.253,0.188,0.36,0.147,0.053,0.25,0,0,0,0,0.8,0.4,0.4,0.4,0.2,0.25,0.5,1,0.5,0,0.688261862,0.384663164,0.004457016,0.269125615,0.06100728,0.83250204,0.2163,0.1786,0.272,0.2555,0.0756
Election_2016,Galway East,0.25,0.273,0.3,0.117,0.059,0,0.5,0.5,0,0,0.6,0.4,0.4,0.4,0.2,0,0.5,0,1,1,0.859243361,0.433117818,0.003495137,0.216843952,0.068071958,0.861067749,0.2473,0.2066,0.355,0.0535,0.1366
Election_2016,Galway West,0.298,0.242,0.24,0.129,0.09,0.1,0,0.333333333,0.333333333,0,2,0.6,0.6,0.6,0.2,0.2,0.333333333,0.333333333,0,0,0.760336629,0.485549483,0.017674456,0.259723467,0.069113333,0.79326,0.3343,0.2366,0.233,0.0565,0.1386
Election_2016,Kerry,0.436,0.158,0.214,0.074,0.119,0.125,0,0.666666667,0.5,1,1.6,0.4,0.6,0.4,0.2,0.125,0.5,0.333333333,0,0,0.836209523,0.431929261,0.005546635,0.262384148,0.074031494,0.843443423,0.3003,0.1506,0.294,0.0775,0.1771
Election_2016,Kildare North,0.076,0.282,0.236,0.341,0.065,0,0,1,0.666666667,0,1.2,0.4,0.4,0.6,0.2,0.333333333,0,0,0.666666667,1,0.777094499,0.42388345,0.005265898,0.204813244,0.050110404,0.818763801,0.2113,0.1716,0.26,0.2255,0.1326
Election_2016,Kildare South,0.079,0.364,0.301,0.139,0.116,0,0,0.5,0,0,0.4,0.4,0.4,0.4,0.2,0.5,0.5,0.5,0.5,1,0.824244866,0.376807963,0.003963283,0.21249799,0.045612382,0.852898971,0.1533,0.2436,0.26,0.2065,0.1356
Election_2016,Laois,0.001,0.351,0.324,0.113,0.212,0,1,0,0,1,0,0.2,0.4,0.4,0.2,0,0,0.5,0.5,0,0.826394064,0.397654271,0.002827543,0.215690934,0.043319024,0.83787426,0.2603,0.2936,0.264,0,0.1836
Election_2016,Limerick City,0.119,0.278,0.285,0.192,0.126,0,1,1,0.333333333,0,0.8,0.2,0.4,0.6,0.2,0.25,0,0,0.333333333,0,0.774613834,0.395793823,0.003080731,0.266848786,0.040712424,0.803728364,0.1083,0.2406,0.36,0.1285,0.1616
Election_2016,Limerick County,0.196,0.276,0.371,0.081,0.075,0,1,0.5,0,0,0.8,0.2,0.4,0.4,0.2,0,0,0,0,0,0.89994633,0.440200818,0.001896616,0.236739636,0.055693858,0.909249438,0.1783,0.2346,0.414,0.0985,0.0756
Election_2016,Longford–Westmeath,0.278,0.282,0.238,0.107,0.095,0,0.5,0.666666667,0.5,0,2,0.4,0.6,0.4,0.2,0.3,0.5,0.333333333,0,0,0.83257552,0.37238342,0.00216753,0.240920857,0.054567745,0.80362951,0.1333,0.2206,0.308,0.1865,0.1506
Election_2016,Louth,0.192,0.186,0.196,0.138,0.289,0,0,1,0,0.5,1.4,0.4,0.4,0.6,0.4,0.142857143,0.5,0,0.333333333,0.5,0.809592908,0.348201548,0.003483331,0.226326081,0.082341151,0.827313423,0.1293,0.1836,0.242,0.1535,0.2926
