"","GEOGID","GEOGDESC","T1_1AGE0M","T1_1AGE1M","T1_1AGE2M","T1_1AGE3M","T1_1AGE4M","T1_1AGE5M","T1_1AGE6M","T1_1AGE7M","T1_1AGE8M","T1_1AGE9M","T1_1AGE10M","T1_1AGE11M","T1_1AGE12M","T1_1AGE13M","T1_1AGE14M","T1_1AGE15M","T1_1AGE16M","T1_1AGE17M","T1_1AGE18M","T1_1AGE19M","T1_1AGE20_24M","T1_1AGE25_29M","T1_1AGE30_34M","T1_1AGE35_39M","T1_1AGE40_44M","T1_1AGE45_49M","T1_1AGE50_54M","T1_1AGE55_59M","T1_1AGE60_64M","T1_1AGE65_69M","T1_1AGE70_74M","T1_1AGE75_79M","T1_1AGE80_84M","T1_1AGEGE_85M","T1_1AGETM","T1_1AGE0F","T1_1AGE1F","T1_1AGE2F","T1_1AGE3F","T1_1AGE4F","T1_1AGE5F","T1_1AGE6F","T1_1AGE7F","T1_1AGE8F","T1_1AGE9F","T1_1AGE10F","T1_1AGE11F","T1_1AGE12F","T1_1AGE13F","T1_1AGE14F","T1_1AGE15F","T1_1AGE16F","T1_1AGE17F","T1_1AGE18F","T1_1AGE19F","T1_1AGE20_24F","T1_1AGE25_29F","T1_1AGE30_34F","T1_1AGE35_39F","T1_1AGE40_44F","T1_1AGE45_49F","T1_1AGE50_54F","T1_1AGE55_59F","T1_1AGE60_64F","T1_1AGE65_69F","T1_1AGE70_74F","T1_1AGE75_79F","T1_1AGE80_84F","T1_1AGEGE_85F","T1_1AGETF","T1_1AGE0T","T1_1AGE1T","T1_1AGE2T","T1_1AGE3T","T1_1AGE4T","T1_1AGE5T","T1_1AGE6T","T1_1AGE7T","T1_1AGE8T","T1_1AGE9T","T1_1AGE10T","T1_1AGE11T","T1_1AGE12T","T1_1AGE13T","T1_1AGE14T","T1_1AGE15T","T1_1AGE16T","T1_1AGE17T","T1_1AGE18T","T1_1AGE19T","T1_1AGE20_24T","T1_1AGE25_29T","T1_1AGE30_34T","T1_1AGE35_39T","T1_1AGE40_44T","T1_1AGE45_49T","T1_1AGE50_54T","T1_1AGE55_59T","T1_1AGE60_64T","T1_1AGE65_69T","T1_1AGE70_74T","T1_1AGE75_79T","T1_1AGE80_84T","T1_1AGEGE_85T","T1_1AGETT","T1_2SGLM","T1_2MARM","T1_2SEPM","T1_2DIVM","T1_2WIDM","T1_2TM","T1_2SGLF","T1_2MARF","T1_2SEPF","T1_2DIVF","T1_2WIDF","T1_2TF","T1_2SGLT","T1_2MART","T1_2SEPT","T1_2DIVT","T1_2WIDT","T1_2T","T2_1IEBP","T2_1UKBP","T2_1PLBP","T2_1LTBP","T2_1EUBP","T2_1RWBP","T2_1TBP","T2_1IEN","T2_1UKN","T2_1PLN","T2_1LTN","T2_1EUN","T2_1RWN","T2_1NSN","T2_1TN","T2_2WI","T2_2WIT","T2_2OW","T2_2BBI","T2_2AAI","T2_2OTH","T2_2NS","T2_2T","T2_3SA","T2_3EC","T2_3EI","T2_3OI","T2_3T","T2_4CA","T2_4OR","T2_4NR","T2_4NS","T2_4T","T2_5PL","T2_5FR","T2_5LT","T2_5OTH","T2_5T","T2_6VW","T2_6W","T2_6NW","T2_6NAA","T2_6NS","T2_6T","T3_1YES","T3_1NO","T3_1NS","T3_1T","T3_2DIM","T3_2DIDOM","T3_2DIWOM","T3_2DILOOM","T3_2DINOM","T3_2DOESM","T3_2WOESM","T3_2LOOESM","T3_2NOESM","T3_2NSM","T3_2ALLM","T3_2DIF","T3_2DIDOF","T3_2DIWOF","T3_2DILOOF","T3_2DINOF","T3_2DOESF","T3_2WOESF","T3_2LOOESF","T3_2NOESF","T3_2NSF","T3_2ALLF","T3_2DIT","T3_2DIDOT","T3_2DIWOT","T3_2DILOOT","T3_2DINOT","T3_2DOEST","T3_2WOEST","T3_2LOOEST","T3_2NOEST","T3_2NST","T3_2ALLT","T4_1_2PF","T4_1_3PF","T4_1_4PF","T4_1_5PF","T4_1_GRE_6PF","T4_1_TF","T4_1_2PP","T4_1_3PP","T4_1_4PP","T4_1_5PP","T4_1_GRE_6PP","T4_1_TP","T4_1_2PC","T4_1_3PC","T4_1_4PC","T4_1_5PC","T4_1_GRE_6PC","T4_1_TC","T4_2_1CU15","T4_2_2CU15","T4_2_3CU15","T4_2_4CU15","T4_2_GE5CU15","T4_2_TCU15","T4_2_1CO15","T4_2_2CO15","T4_2_3CO15","T4_2_4CO15","T4_2_GE5CO15","T4_2_TCO15","T4_2_2CUO15","T4_2_3CUO15","T4_2_4CUO15","T4_2_GE5CUO15","T4_2_TCUO15","T4_2_NCT","T4_2_1CT","T4_2_2CT","T4_2_3CT","T4_2_4CT","T4_2_GE5CT","T4_2_TCT","T4_3FCCU15","T4_3FCCO15","T4_3FCCUO15","T4_3FCCT","T4_3FOPMCU15","T4_3FOPMCO15","T4_3FOPMCUO15","T4_3FOPMCT","T4_3FOPFCU15","T4_3FOPFCO15","T4_3FOPFCUO15","T4_3FOPFCT","T4_3CCCU15","T4_3CCCO15","T4_3CCCUO15","T4_3CCCT","T4_3COPMCU15","T4_3COPMCO15","T4_3COPMCUO15","T4_3COPMCT","T4_3COPFCU15","T4_3COPFCO15","T4_3COPFCUO15","T4_3COPFCT","T4_4AGE0_4F","T4_4AGE5_9F","T4_4AGE10_14F","T4_4AGE15_19F","T4_4AGE_GE20F","T4_4TF","T4_4AGE0_4P","T4_4AGE5_9P","T4_4AGE10_14P","T4_4AGE15_19P","T4_4AGE_GE20P","T4_4TP","T4_5PFF","T4_5ENF","T4_5RF","T4_5PSF","T4_5ESF","T4_5PAF","T4_5ADOF","T4_5ADUF","T4_5TF","T4_5PFP","T4_5ENP","T4_5RP","T4_5PSP","T4_5ESP","T4_5PAP","T4_5ADOP","T4_5ADUP","T4_5TP","T4_6_0C","T4_6_1C","T4_6_2C","T4_6_3C","T4_6_GE4C","T4_6T","T5_1OP_H","T5_1MC_H","T5_1CC_H","T5_1MCC_H","T5_1CCC_H","T5_1OPFC_H","T5_1OPMC_H","T5_1CO_H","T5_1CCO_H","T5_1OPFCO_H","T5_1OPMCO_H","T5_1GETFU_H","T5_1NHR_H","T5_1GENP_H","T5_1T_H","T5_1OP_P","T5_1MC_P","T5_1CC_P","T5_1MCC_P","T5_1CCC_P","T5_1OPFC_P","T5_1OPMC_P","T5_1CO_P","T5_1CCO_P","T5_1OPFCO_P","T5_1OPMCO_P","T5_1GETFU_P","T5_1NHR_P","T5_1GENP_P","T5_1T_P","T5_2_1PH","T5_2_2PH","T5_2_3PH","T5_2_4PH","T5_2_5PH","T5_2_6PH","T5_2_7PH","T5_2_GE8PH","T5_2_TH","T5_2_1PP","T5_2_2PP","T5_2_3PP","T5_2_4PP","T5_2_5PP","T5_2_6PP","T5_2_7PP","T5_2_GE8PP","T5_2_TP","T6_1_HB_H","T6_1_FA_H","T6_1_BS_H","T6_1_CM_H","T6_1_NS_H","T6_1_TH","T6_1_HB_P","T6_1_FA_P","T6_1_BS_P","T6_1_CM_P","T6_1_NS_P","T6_1_TP","T6_2_PRE19H","T6_2_19_45H","T6_2_46_60H","T6_2_61_70H","T6_2_71_80H","T6_2_81_90H","T6_2_91_00H","T6_2_01_10H","T6_2_11LH","T6_2_NSH","T6_2_TH","T6_2_PRE19P","T6_2_19_45P","T6_2_46_60P","T6_2_61_70P","T6_2_71_80P","T6_2_81_90P","T6_2_91_00P","T6_2_01_10P","T6_2_11LP","T6_2_NSP","T6_2_TP","T6_3_OMLH","T6_3_OOH","T6_3_RPLH","T6_3_RLAH","T6_3_RVCHBH","T6_3_OFRH","T6_3_NSH","T6_3_TH","T6_3_OMLP","T6_3_OOP","T6_3_RPLP","T6_3_RLAP","T6_3_RVCHBP","T6_3_OFRP","T6_3_NSP","T6_3_TP","T6_4_1RH","T6_4_2RH","T6_4_3RH","T6_4_4RH","T6_4_5RH","T6_4_6RH","T6_4_7RH","T6_4_GE8RH","T6_4_NSH","T6_4_TH","T6_4_1RP","T6_4_2RP","T6_4_3RP","T6_4_4RP","T6_4_5RP","T6_4_6RP","T6_4_7RP","T6_4_GE8RP","T6_4_NSP","T6_4_TP","T6_5_NCH","T6_5_OCH","T6_5_NGCH","T6_5_ECH","T6_5_CCH","T6_5_PCH","T6_5_LPGCH","T6_5_WCH","T6_5_OTH","T6_5_NS","T6_5_T","T6_6_PM","T6_6_GSLA","T6_6_GSP","T6_6_OP","T6_6_N","T6_6_NS","T6_6_T","T6_7_PS","T6_7_IST","T6_7_OIT","T6_7_OTH","T6_7_NSF","T6_7_NS","T6_7_T","T6_8_O","T6_8_TA","T6_8_UHH","T6_8_OVD","T6_8_T","T7_1_NE","T7_1_NP","T8_1_WM","T8_1_LFFJM","T8_1_ULGUPJM","T8_1_SM","T8_1_LAHFM","T8_1_RM","T8_1_UTWSDM","T8_1_OTHM","T8_1_TM","T8_1_WF","T8_1_LFFJF","T8_1_ULGUPJF","T8_1_SF","T8_1_LAHFF","T8_1_RF","T8_1_UTWSDF","T8_1_OTHF","T8_1_TF","T8_1_WT","T8_1_LFFJT","T8_1_ULGUPJT","T8_1_ST","T8_1_LAHFT","T8_1_RT","T8_1_UTWSDT","T8_1_OTHT","T8_1_TT","T9_1_PWM","T9_1_MTM","T9_1_NMM","T9_1_SM","T9_1_SSM","T9_1_USM","T9_1_OTHGEUM","T9_1_TM","T9_1_PWF","T9_1_MTF","T9_1_NMF","T9_1_SF","T9_1_SSF","T9_1_USF","T9_1_OTHGEUF","T9_1_TF","T9_1_PWT","T9_1_MTT","T9_1_NMT","T9_1_ST","T9_1_SST","T9_1_UST","T9_1_OTHGEUT","T9_1_TT","T9_2_HA","T9_2_HB","T9_2_HC","T9_2_HD","T9_2_HE","T9_2_HF","T9_2_HG","T9_2_HH","T9_2_HI","T9_2_HJ","T9_2_HZ","T9_2_HT","T9_2_PA","T9_2_PB","T9_2_PC","T9_2_PD","T9_2_PE","T9_2_PF","T9_2_PG","T9_2_PH","T9_2_PI","T9_2_PJ","T9_2_PZ","T9_2_PT","T10_1_LT15M","T10_1_15M","T10_1_16M","T10_1_17M","T10_1_18M","T10_1_19M","T10_1_20M","T10_1_GE21M","T10_1_NSM","T10_1_TM","T10_1_LT15F","T10_1_15F","T10_1_16F","T10_1_17F","T10_1_18F","T10_1_19F","T10_1_20F","T10_1_GE21F","T10_1_NSF","T10_1_TF","T10_1_LT15T","T10_1_15T","T10_1_16T","T10_1_17T","T10_1_18T","T10_1_19T","T10_1_20T","T10_1_GE21T","T10_1_NST","T10_1_TT","T10_2_SASM","T10_2_OTHM","T10_2_SASF","T10_2_OTHF","T10_2_SAST","T10_2_OTHT","T10_3_EDUM","T10_3_ARTM","T10_3_HUMM","T10_3_SOCM","T10_3_SCIM","T10_3_ENGM","T10_3_AGRM","T10_3_HEAM","T10_3_SERM","T10_3_OTHM","T10_3_NSM","T10_3_TM","T10_3_EDUF","T10_3_ARTF","T10_3_HUMF","T10_3_SOCF","T10_3_SCIF","T10_3_ENGF","T10_3_AGRF","T10_3_HEAF","T10_3_SERF","T10_3_OTHF","T10_3_NSF","T10_3_TF","T10_3_EDUT","T10_3_ARTT","T10_3_HUMT","T10_3_SOCT","T10_3_SCIT","T10_3_ENGT","T10_3_AGRT","T10_3_HEAT","T10_3_SERT","T10_3_OTHT","T10_3_NST","T10_3_TT","T10_4_NFM","T10_4_PM","T10_4_LSM","T10_4_USM","T10_4_TVM","T10_4_ACCAM","T10_4_HCM","T10_4_ODNDM","T10_4_HDPQM","T10_4_PDM","T10_4_DM","T10_4_NSM","T10_4_TM","T10_4_NFF","T10_4_PF","T10_4_LSF","T10_4_USF","T10_4_TVF","T10_4_ACCAF","T10_4_HCF","T10_4_ODNDF","T10_4_HDPQF","T10_4_PDF","T10_4_DF","T10_4_NSF","T10_4_TF","T10_4_NFT","T10_4_PT","T10_4_LST","T10_4_UST","T10_4_TVT","T10_4_ACCAT","T10_4_HCT","T10_4_ODNDT","T10_4_HDPQT","T10_4_PDT","T10_4_DT","T10_4_NST","T10_4_TT","T11_1_FW","T11_1_BIW","T11_1_BUW","T11_1_TDLW","T11_1_MW","T11_1_CDW","T11_1_CPW","T11_1_VW","T11_1_OTHW","T11_1_WMFHW","T11_1_NSW","T11_1_TW","T11_1_FS","T11_1_BIS","T11_1_BUS","T11_1_TDLS","T11_1_MS","T11_1_CDS","T11_1_CPS","T11_1_VS","T11_1_OTHS","T11_1_WMFHS","T11_1_NSS","T11_1_TS","T11_1_FT","T11_1_BIT","T11_1_BUT","T11_1_TDLT","T11_1_MT","T11_1_CDT","T11_1_CPT","T11_1_VT","T11_1_OTHT","T11_1_WMFHT","T11_1_NST","T11_1_TT","T11_2_T1","T11_2_T2","T11_2_T3","T11_2_T4","T11_2_T5","T11_2_T6","T11_2_T7","T11_2_T8","T11_2_NS","T11_2_T","T11_3_D1","T11_3_D2","T11_3_D3","T11_3_D4","T11_3_D5","T11_3_D6","T11_3_NS","T11_3_T","T12_1_M","T12_1_F","T12_1_T","T12_2_M","T12_2_F","T12_2_T","T12_3_VGM","T12_3_VGF","T12_3_VGT","T12_3_GM","T12_3_GF","T12_3_GT","T12_3_FM","T12_3_FF","T12_3_FT","T12_3_BM","T12_3_BF","T12_3_BT","T12_3_VBM","T12_3_VBF","T12_3_VBT","T12_3_NSM","T12_3_NSF","T12_3_NST","T12_3_TM","T12_3_TF","T12_3_TT","T13_1_MDSOM","T13_1_POM","T13_1_APTOM","T13_1_ASOM","T13_1_STOM","T13_1_CLOSOM","T13_1_SCSOM","T13_1_PPMOM","T13_1_EOM","T13_1_NSM","T13_1_TM","T13_1_MDSOF","T13_1_POF","T13_1_APTOF","T13_1_ASOF","T13_1_STOF","T13_1_CLOSOF","T13_1_SCSOF","T13_1_PPMOF","T13_1_EOF","T13_1_NSF","T13_1_TF","T13_1_MDSOT","T13_1_POT","T13_1_APTOT","T13_1_ASOT","T13_1_STOT","T13_1_CLOSOT","T13_1_SCSOT","T13_1_PPMOT","T13_1_EOT","T13_1_NST","T13_1_TT","T14_1_AFFM","T14_1_BCM","T14_1_MIM","T14_1_CTM","T14_1_TCM","T14_1_PAM","T14_1_PSM","T14_1_OTHM","T14_1_TM","T14_1_AFFF","T14_1_BCF","T14_1_MIF","T14_1_CTF","T14_1_TCF","T14_1_PAF","T14_1_PSF","T14_1_OTHF","T14_1_TF","T14_1_AFFT","T14_1_BCT","T14_1_MIT","T14_1_CTT","T14_1_TCT","T14_1_PAT","T14_1_PST","T14_1_OTHT","T14_1_TT","T15_1_NC","T15_1_1C","T15_1_2C","T15_1_3C","T15_1_GE4C","T15_1_NSC","T15_1_TC","T15_2_Y","T15_2_N","T15_2_NS","T15_2_T","T15_3_B","T15_3_OTH","T15_3_N","T15_3_NS","T15_3_T","Under_18","Over_65","Over_35","Over_65_pct","Over_35_pct","Over_18_pct","Female_pct","Ireland_birth_pct","Not_Stated_birth_pct","Catholic_pct","Irish_over3_pct","Irish_Daily_Outside_Educ_pct","Irish_Daily_And_In_Educ_pct","Two_person_household_hou_pct","Two_person_household_ppl_pct","Apartment_household_hou_pct","Apartment_household_pp_pct","Rental_private_hou_pct","Rental_private_household_pp_pct","Age_15plus_unemployed","Degree_or_higher_pct","Ord_Degree_or_higher_pct"
"1","DC2017_10001","Carlow-Kilkenny",1051,1113,1139,1165,1287,1255,1211,1281,1297,1163,1179,1093,1142,1125,1149,1159,1114,1068,1068,922,4120,4227,5191,6049,5999,5384,5025,4654,4148,3659,2731,1839,1175,816,77998,941,1105,1084,1122,1161,1259,1196,1156,1097,1106,1050,1094,1149,1128,1079,1046,1017,1015,1005,820,3867,4452,5641,6250,5969,5399,5106,4619,4043,3444,2782,1990,1491,1483,78166,1992,2218,2223,2287,2448,2514,2407,2437,2394,2269,2229,2187,2291,2253,2228,2205,2131,2083,2073,1742,7987,8679,10832,12299,11968,10783,10131,9273,8191,7103,5513,3829,2666,2299,156164,42806,30342,1805,1424,1621,77998,38831,30219,2224,1956,4936,78166,81637,60561,4029,3380,6557,156164,133933,7671,4294,616,3646,4441,154601,138592,3235,4582,640,3633,2057,1862,154601,133703,1068,12463,1320,1700,1625,2722,154601,143347,4741,2894,1639,152621,130623,12047,11001,2493,156164,5090,1440,671,8790,15991,7879,4964,2228,414,506,15991,58965,87555,3211,149731,9013,190,96,63,53,403,1324,8298,6552,199,26191,10674,289,136,68,62,577,1867,11040,7849,212,32774,19687,479,232,131,115,980,3191,19338,14401,411,58965,15713,9334,9283,4813,1885,41028,31426,28002,37132,24065,11916,132541,4120,11213,19261,14641,8218,57453,4957,5573,2542,615,129,13816,6618,3267,991,234,40,11150,1627,1773,767,302,4469,11593,11575,10467,5306,1616,471,41028,11167,7641,3659,22467,2446,2766,735,5947,203,743,75,1021,22826,12464,11011,46301,3715,3827,2085,9627,332,979,214,1525,8383,5445,4457,3915,7235,29435,33526,22139,17629,14288,21773,109355,3076,4432,4085,4013,4915,4888,5379,10240,41028,6152,8864,8170,12946,18991,19919,21823,35676,132541,14559,7091,12593,9728,10533,54504,12455,8711,1977,18448,2564,855,4958,542,1044,111,498,654,1151,1424,55392,12455,17422,3954,75721,9849,2138,13223,1770,5370,405,1795,3564,2636,3843,154145,12455,15726,9810,9672,5268,1811,446,204,55392,12455,31452,29430,38688,26340,10866,3122,1792,154145,51695,2700,48,184,765,55392,146548,5066,62,398,2071,154145,6034,3310,3542,2907,6413,5442,7824,15754,1131,2851,55208,14369,7575,8429,6918,15895,15183,24247,50169,3277,7685,153747,17519,21630,7897,5053,716,982,1411,55208,59681,51697,21204,14044,1659,1912,3550,153747,319,1777,4733,5229,13797,9954,7653,9054,2692,55208,447,3097,11255,11970,36233,28416,24242,31735,6352,153747,702,30314,12517,2468,4828,504,344,2102,471,958,55208,34922,2659,1752,14048,127,1700,55208,30320,19960,2535,399,72,1922,55208,55431,1361,849,4859,62500,159,3608,34610,562,5576,6653,669,9216,2925,137,60348,28726,450,3963,6588,9966,8646,2818,282,61439,63336,1012,9539,13241,10635,17862,5743,419,121787,6091,19873,10292,16119,9123,3862,12638,77998,4825,23274,16375,8738,7628,2756,14570,78166,10916,43147,26667,24857,16751,6618,27208,156164,6947,2698,6067,9573,5667,4663,2271,2796,4103,628,9979,55392,21380,8018,16924,26223,16867,13183,6038,8372,12119,1693,23328,154145,3795,2811,5196,3825,6202,1991,2008,9800,14822,50450,2621,1663,3607,3929,6641,2638,2198,12689,15572,51558,6416,4474,8803,7754,12843,4629,4206,22489,30394,102008,6653,3245,6588,3293,13241,6538,866,769,583,3854,1784,9036,3838,1159,1545,57,26959,50450,3491,869,856,8316,1464,701,706,7166,2789,94,25106,51558,4357,1638,1439,12170,3248,9737,4544,8325,4334,151,52065,102008,1039,6295,9906,8878,4458,5232,2134,3036,3966,2576,244,2686,50450,808,4995,7584,10096,5419,2339,3213,4092,5796,4313,216,2687,51558,1847,11290,17490,18974,9877,7571,5347,7128,9762,6889,460,5373,102008,4871,822,552,408,139,40422,2774,4988,498,4638,2422,62534,7253,365,6428,222,15,1887,18651,75,15,30,1239,36180,12124,1187,6980,630,154,42309,21425,5063,513,4668,3661,98714,5622,5850,7347,13950,20210,21122,10178,5574,4193,94046,35679,27646,13757,3712,4119,2864,6269,94046,10790,10779,21569,2546,4043,6589,46664,46868,93532,21787,21647,43434,6340,6514,12854,947,1072,2019,190,224,414,2070,1841,3911,77998,78166,156164,3327,4105,3890,1154,12445,943,1542,4770,4114,3896,40186,1901,6826,2776,5333,1141,4845,3388,741,2609,3129,32689,5228,10931,6666,6487,13586,5788,4930,5511,6723,7025,72875,4479,3528,6072,7274,2502,1708,3794,5253,34610,624,222,1851,7128,675,1503,11502,5221,28726,5103,3750,7923,14402,3177,3211,15296,10474,63336,6516,22232,20389,3546,1270,1255,55208,36670,17041,1497,55208,36278,5652,11944,1334,55208,40796,21410,84055,0.137,0.538,0.739,0.50053789605799,0.866313930699025,0.0120439065724025,0.836447580748444,0.393806225831658,0.00654507082701645,0.00319907033279682,0.382982353514673,0.237103990463328,0.0487435008665511,0.0328651594278115,0.14304086364295,0.13791488614412,0.0783252728123691,0.167741745745432,0.237618618147596
"2","DC2017_120001","Limerick County",493,553,571,588,624,637,690,702,674,630,644,622,622,619,535,557,560,606,600,497,2026,2111,2552,3025,3202,3171,2889,2842,2775,2473,1798,1134,775,449,43246,555,541,533,563,617,634,606,608,575,631,584,589,603,630,533,602,587,582,525,411,1902,1969,2770,3061,3133,2967,2885,2754,2526,2297,1758,1254,885,937,42607,1048,1094,1104,1151,1241,1271,1296,1310,1249,1261,1228,1211,1225,1249,1068,1159,1147,1188,1125,908,3928,4080,5322,6086,6335,6138,5774,5596,5301,4770,3556,2388,1660,1386,85853,23037,17659,938,639,973,43246,19824,17694,1086,765,3238,42607,42861,35353,2024,1404,4211,85853,76615,4710,1176,279,846,1529,85155,79317,1886,1242,299,827,720,864,85155,77514,1131,4380,165,438,555,972,85155,80120,2371,849,771,84111,77304,3424,4129,996,85853,1392,852,280,2494,5018,2556,1385,732,149,196,5018,36368,44840,1399,82607,4837,70,53,47,26,208,764,5648,4681,120,16454,5963,85,82,58,26,297,1097,7018,5176,112,19914,10800,155,135,105,52,505,1861,12666,9857,232,36368,8821,5062,5197,2754,1121,22955,17642,15186,20788,13770,7114,74500,2074,5952,10709,8352,4903,31990,2321,2879,1409,341,80,7030,3925,2046,665,154,26,6816,847,905,424,186,2362,6747,6246,5772,2979,919,292,22955,5965,4812,2031,12808,981,1589,296,2866,84,415,35,534,12463,7989,6214,26666,1495,2213,832,4540,127,566,91,784,4183,2858,2351,2213,4603,16208,17094,11981,9535,8396,14000,61006,1465,2677,2605,1939,2451,2640,2880,6298,22955,2930,5354,5210,6380,9750,10950,11921,22005,74500,7704,3478,6768,5640,6540,30130,7555,5408,894,10801,1238,459,2371,245,564,47,237,343,645,270,31077,7555,10816,1788,44473,4837,1144,6234,790,2903,163,869,1802,1433,667,85474,7555,8695,5112,5344,2960,1028,274,109,31077,7555,17390,15336,21376,14800,6168,1918,931,85474,29866,747,6,128,330,31077,83053,1281,9,286,845,85474,4019,2680,2021,1576,3927,3605,3867,7430,653,1171,30949,9042,6054,4658,3696,9655,10105,12728,24095,2028,3127,85188,9522,14709,3162,1927,305,717,607,30949,33155,35132,8401,5228,464,1359,1449,85188,199,1014,2608,3013,6786,6179,4775,4933,1442,30949,293,1632,5764,6625,17447,17558,14915,17506,3448,85188,604,21028,521,1397,3737,1295,266,1448,272,381,30949,17074,4050,1872,6997,104,852,30949,9895,17936,2010,169,73,866,30949,31067,676,378,4355,36476,58,1411,19613,272,2641,3414,372,5848,1790,92,34042,15291,233,1771,3520,5811,5341,1694,144,33805,34904,505,4412,6934,6183,11189,3484,236,67847,3465,10654,5624,9092,5471,2260,6680,43246,2687,12464,8919,4760,4742,1261,7774,42607,6152,23118,14543,13852,10213,3521,14454,85853,3305,1354,3182,4376,3541,2996,1333,1553,3706,285,5446,31077,10320,4368,9073,12042,10300,8495,3304,4566,10269,655,12082,85474,2240,1407,2959,2212,3713,986,1018,4953,9642,29130,1514,916,2006,2161,3812,1495,1233,5822,9872,28831,3754,2323,4965,4373,7525,2481,2251,10775,19514,57961,3414,1498,3520,1454,6934,2952,529,244,255,1844,859,5617,2511,425,801,21,16024,29130,1882,354,376,4257,994,355,405,3956,1453,31,14768,28831,2411,598,631,6101,1853,5972,2916,4381,2254,52,30792,57961,629,4260,5880,5207,2619,3033,1151,1756,1948,1148,122,1377,29130,501,3141,4526,6117,2844,1258,1664,2363,2758,2054,108,1497,28831,1130,7401,10406,11324,5463,4291,2815,4119,4706,3202,230,2874,57961,1805,134,239,43,76,23307,1349,3291,390,2637,1248,34519,2271,64,3516,37,5,1431,11247,48,3,13,599,19234,4076,198,3755,80,81,24738,12596,3339,393,2650,1847,53753,2730,4173,5435,7999,9306,11639,5083,2689,2049,51103,18353,13236,9925,3085,2388,840,3276,51103,6063,6059,12122,1496,2379,3875,25141,24766,49907,13007,12569,25576,3613,3708,7321,528,596,1124,102,109,211,855,859,1714,43246,42607,85853,1644,2168,1953,561,7770,488,656,3116,2012,1886,22254,852,3649,1269,3072,782,2776,1589,599,1034,1440,17062,2496,5817,3222,3633,8552,3264,2245,3715,3046,3326,39316,3335,2101,4197,3566,1506,757,1909,2242,19613,454,111,1449,3341,515,789,6311,2321,15291,3789,2212,5646,6907,2021,1546,8220,4563,34904,2961,11896,12212,2492,825,563,30949,19628,10650,671,30949,17969,3679,8622,679,30949,21500,13760,48990,0.16,0.571,0.75,0.49627852259094,0.899712289354706,0.0101462039809759,0.900422815743189,0.440253247303497,0.00611328337792197,0.00187635430411466,0.384273578741015,0.236805369127517,0.0240370692151752,0.0149870135947774,0.102168082975217,0.0986171761280932,0.065028667442923,0.140404754921413,0.211469781404738
