"","web.scraper.start.url","Seat","Party","Candidate","Share","Count.1","Count.2","Count.3","Count.4","Count.5","Count.6","Count.7","Count.8","Count.9","Count.10","Count.11","Count.12","Count.13","Count.14","Count.15","Constituency","n","total_const_vote","seats","Quota","Total_Transfers","FP_Quota_pct","Trans_Quota_pct","Elected","First_Name","gender","proportion_male","proportion_female"
"287","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"IND","Daragh O'Flaherty (IND)","0.5%",318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,0,0.0316197673262404,0,0,"Daragh","female",NA,NA
"288","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"Aon","Cormac O Corcoráin (Aon)","1.8%",1058,39,21,0,0,0,0,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,60,0.10520035795963,0.0059659938351397,0,"Cormac","male",1,0
"289","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",4,"IND","Catherine Connolly (IND)","9.0%",5439,39,215,82,253,633,964,464,633,109,75,3580,0,0,0,"Galway West",15,60341,5,10057,7047,0.540817341155414,0.700705975937158,1,"Catherine","female",0.02,0.98
"290","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",1,"FF","í‰amon í“ Cuí­v (FF)","14.1%",8522,12,22,269,68,124,183,2710,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,3388,0.847369991051009,0.336879785224222,1,"í‰amon","female",NA,NA
"291","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",3,"SF","Mairéad Farrell (SF)","14.0%",8464,22,258,70,90,729,380,327,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,1876,0.841602863677041,0.186536740578701,1,"Mairéad","female",NA,NA
"292","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"GP","Pauline O'Reilly (GP)","6.0%",3650,5,111,45,287,132,0,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,580,0.362931291637665,0.0576712737396838,0,"Pauline","female",NA,NA
"293","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"SD","Niall í“ Tuathail (SD)","6.0%",3623,7,131,32,264,256,1437,229,302,58,64,0,0,0,0,"Galway West",15,60341,5,10057,2780,0.360246594411852,0.27642438102814,0,"Niall","male",0.99,0.01
"294","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",5,"FG","Hildegarde Naughton (FG)","9.3%",5609,8,28,22,218,142,603,379,357,107,36,1027,983,0,0,"Galway West",15,60341,5,10057,3910,0.557720990354977,0.388783931589937,1,"Hildegarde","female",0.08,0.92
"295","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",2,"IND","Noel Grealish (IND)","13.3%",8043,116,37,345,75,552,134,1091,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,2350,0.799741473600477,0.233668091876305,1,"Noel","male",0.93,0.07
"296","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"SOL-PBP","Joe Loughnane (SOL-PBP)","0.7%",437,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,8,0.0434523217659342,0.000795465844685294,0,"Joe","male",0.95,0.05
"297","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"IND","Mike Cubbard (IND)","4.4%",2676,21,43,62,105,0,0,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,231,0.266083325047231,0.0229690762652879,0,"Mike","male",0.99,0.01
"298","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"FF","Ollie Crowe (FF)","8.6%",5175,5,27,103,74,171,116,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,496,0.514566968280799,0.0493188823704882,0,"Ollie","female",NA,NA
"299","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"LAB","Ní­all McNelis (LAB)","2.6%",1548,6,23,16,0,0,0,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,45,0.153922640946604,0.00447449537635478,0,"Ní­all","female",NA,NA
"300","https://irelandelection.com/electiondetail.php?elecid=238&constitid=28&electype=1",0,"SOL-PBP","Conor Burke (SOL-PBP)","0.8%",495,17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Galway West",15,60341,5,10057,17,0.0492194491399026,0.00169036491995625,0,"Conor","male",0.99,0.01
